Comunidades y ciudades autónomas;País de residencia;Meses;Total
Total;Países Africanos;Julio;54.933
Total;Países Africanos;Agosto;124.520
Total;Países Africanos;Septiembre;32.594
Total;Países Africanos;Octubre;15.106
Total;Países Africanos;Noviembre;16.041
Total;Países Africanos;Diciembre;17.250
Total;Resto del mundo;Total;1.025.343
Total;Resto del mundo;Enero;66.396
Total;Resto del mundo;Febrero;60.504
Total;Resto del mundo;Marzo;59.870
Total;Resto del mundo;Abril;74.237
Total;Resto del mundo;Mayo;87.087
Total;Resto del mundo;Junio;98.403
Total;Resto del mundo;Julio;142.294
Total;Resto del mundo;Agosto;123.827
Total;Resto del mundo;Septiembre;96.843
Total;Resto del mundo;Octubre;88.586
Total;Resto del mundo;Noviembre;60.396
Total;Resto del mundo;Diciembre;66.899
Andalucía;Total;Total;10.443.581
Andalucía;Total;Enero;493.804
Andalucía;Total;Febrero;535.250
Andalucía;Total;Marzo;600.711
Andalucía;Total;Abril;898.058
Andalucía;Total;Mayo;861.620
Andalucía;Total;Junio;1.033.928
Andalucía;Total;Julio;1.439.270
Andalucía;Total;Agosto;1.623.840
Andalucía;Total;Septiembre;1.078.458
Andalucía;Total;Octubre;849.273
Andalucía;Total;Noviembre;525.251
Andalucía;Total;Diciembre;504.118
Andalucía;Residentes en España;Total;3.662.855
Andalucía;Residentes en España;Enero;135.902
Andalucía;Residentes en España;Febrero;124.452
Andalucía;Residentes en España;Marzo;127.810
Andalucía;Residentes en España;Abril;296.011
Andalucía;Residentes en España;Mayo;226.682
Andalucía;Residentes en España;Junio;338.294
Andalucía;Residentes en España;Julio;652.190
Andalucía;Residentes en España;Agosto;846.660
Andalucía;Residentes en España;Septiembre;417.657
Andalucía;Residentes en España;Octubre;181.481
Andalucía;Residentes en España;Noviembre;118.820
Andalucía;Residentes en España;Diciembre;196.898
Andalucía;No residentes en España;Total;6.780.726
Andalucía;No residentes en España;Enero;357.902
Andalucía;No residentes en España;Febrero;410.798
Andalucía;No residentes en España;Marzo;472.901
Andalucía;No residentes en España;Abril;602.048
Andalucía;No residentes en España;Mayo;634.938
Andalucía;No residentes en España;Junio;695.634
Andalucía;No residentes en España;Julio;787.080
Andalucía;No residentes en España;Agosto;777.180
Andalucía;No residentes en España;Septiembre;660.802
Andalucía;No residentes en España;Octubre;667.792
Andalucía;No residentes en España;Noviembre;406.431
Andalucía;No residentes en España;Diciembre;307.220
Andalucía;Unión Europea (sin España);Total;5.466.348
Andalucía;Unión Europea (sin España);Enero;263.723
Andalucía;Unión Europea (sin España);Febrero;305.061
Andalucía;Unión Europea (sin España);Marzo;360.270
Andalucía;Unión Europea (sin España);Abril;491.397
Andalucía;Unión Europea (sin España);Mayo;524.987
Andalucía;Unión Europea (sin España);Junio;582.285
Andalucía;Unión Europea (sin España);Julio;640.747
Andalucía;Unión Europea (sin España);Agosto;636.158
Andalucía;Unión Europea (sin España);Septiembre;546.538
Andalucía;Unión Europea (sin España);Octubre;548.730
Andalucía;Unión Europea (sin España);Noviembre;329.405
Andalucía;Unión Europea (sin España);Diciembre;237.046
Andalucía;Alemania;Total;472.790
Andalucía;Alemania;Enero;33.072
Andalucía;Alemania;Febrero;27.411
Andalucía;Alemania;Marzo;35.195
Andalucía;Alemania;Abril;42.332
Andalucía;Alemania;Mayo;39.941
Andalucía;Alemania;Junio;39.563
Andalucía;Alemania;Julio;37.050
Andalucía;Alemania;Agosto;37.090
Andalucía;Alemania;Septiembre;49.741
Andalucía;Alemania;Octubre;64.362
Andalucía;Alemania;Noviembre;40.311
Andalucía;Alemania;Diciembre;26.722
Andalucía;Austria;Total;32.061
Andalucía;Austria;Enero;1.916
Andalucía;Austria;Febrero;1.646
Andalucía;Austria;Marzo;2.326
Andalucía;Austria;Abril;3.921
Andalucía;Austria;Mayo;3.860
Andalucía;Austria;Junio;2.758
Andalucía;Austria;Julio;3.531
Andalucía;Austria;Agosto;2.428
Andalucía;Austria;Septiembre;4.004
Andalucía;Austria;Octubre;2.378
Andalucía;Austria;Noviembre;1.625
Andalucía;Austria;Diciembre;1.669
Andalucía;Bélgica;Total;147.770
Andalucía;Bélgica;Enero;7.802
Andalucía;Bélgica;Febrero;8.193
Andalucía;Bélgica;Marzo;12.886
Andalucía;Bélgica;Abril;16.942
Andalucía;Bélgica;Mayo;12.706
Andalucía;Bélgica;Junio;12.191
Andalucía;Bélgica;Julio;20.481
Andalucía;Bélgica;Agosto;13.326
Andalucía;Bélgica;Septiembre;13.301
Andalucía;Bélgica;Octubre;11.365
Andalucía;Bélgica;Noviembre;10.797
Andalucía;Bélgica;Diciembre;7.781
Andalucía;Dinamarca;Total;168.359
Andalucía;Dinamarca;Enero;10.411
Andalucía;Dinamarca;Febrero;17.256
Andalucía;Dinamarca;Marzo;18.983
Andalucía;Dinamarca;Abril;15.549
Andalucía;Dinamarca;Mayo;9.928
Andalucía;Dinamarca;Junio;10.161
Andalucía;Dinamarca;Julio;28.111
Andalucía;Dinamarca;Agosto;9.646
Andalucía;Dinamarca;Septiembre;11.743
Andalucía;Dinamarca;Octubre;19.888
Andalucía;Dinamarca;Noviembre;10.475
Andalucía;Dinamarca;Diciembre;6.208
Andalucía;Finlandia;Total;255.345
Andalucía;Finlandia;Enero;19.002
Andalucía;Finlandia;Febrero;18.924
Andalucía;Finlandia;Marzo;24.971
Andalucía;Finlandia;Abril;24.245
Andalucía;Finlandia;Mayo;22.502
Andalucía;Finlandia;Junio;24.354
Andalucía;Finlandia;Julio;15.450
Andalucía;Finlandia;Agosto;7.188
Andalucía;Finlandia;Septiembre;15.336
Andalucía;Finlandia;Octubre;34.647
Andalucía;Finlandia;Noviembre;32.581
Andalucía;Finlandia;Diciembre;16.145
Andalucía;Francia;Total;379.109
Andalucía;Francia;Enero;14.572
Andalucía;Francia;Febrero;21.753
Andalucía;Francia;Marzo;15.800
Andalucía;Francia;Abril;38.398
Andalucía;Francia;Mayo;31.712
Andalucía;Francia;Junio;23.425
Andalucía;Francia;Julio;67.556
Andalucía;Francia;Agosto;80.712
Andalucía;Francia;Septiembre;28.004
Andalucía;Francia;Octubre;30.533
Andalucía;Francia;Noviembre;13.168
Andalucía;Francia;Diciembre;13.475
Andalucía;Grecia;Total;5.512
Andalucía;Grecia;Enero;162
Andalucía;Grecia;Febrero;462
Andalucía;Grecia;Marzo;363
Andalucía;Grecia;Abril;720
Andalucía;Grecia;Mayo;305
Andalucía;Grecia;Junio;415
Andalucía;Grecia;Julio;557
Andalucía;Grecia;Agosto;645
Andalucía;Grecia;Septiembre;846
Andalucía;Grecia;Octubre;365
Andalucía;Grecia;Noviembre;541
Andalucía;Grecia;Diciembre;132
Andalucía;Irlanda;Total;524.258
Andalucía;Irlanda;Enero;13.937
Andalucía;Irlanda;Febrero;13.700
