Comunidades y ciudades autónomas;País de residencia;Meses;Total
Comunitat Valenciana;Bélgica;Febrero;30.574
Comunitat Valenciana;Bélgica;Marzo;24.671
Comunitat Valenciana;Bélgica;Abril;20.634
Comunitat Valenciana;Bélgica;Mayo;17.754
Comunitat Valenciana;Bélgica;Junio;18.418
Comunitat Valenciana;Bélgica;Julio;62.072
Comunitat Valenciana;Bélgica;Agosto;40.409
Comunitat Valenciana;Bélgica;Septiembre;43.540
Comunitat Valenciana;Bélgica;Octubre;33.495
Comunitat Valenciana;Bélgica;Noviembre;19.231
Comunitat Valenciana;Bélgica;Diciembre;15.684
Comunitat Valenciana;Dinamarca;Total;67.536
Comunitat Valenciana;Dinamarca;Enero;4.707
Comunitat Valenciana;Dinamarca;Febrero;5.894
Comunitat Valenciana;Dinamarca;Marzo;5.313
Comunitat Valenciana;Dinamarca;Abril;3.882
Comunitat Valenciana;Dinamarca;Mayo;4.670
Comunitat Valenciana;Dinamarca;Junio;6.250
Comunitat Valenciana;Dinamarca;Julio;20.510
Comunitat Valenciana;Dinamarca;Agosto;3.955
Comunitat Valenciana;Dinamarca;Septiembre;3.608
Comunitat Valenciana;Dinamarca;Octubre;4.601
Comunitat Valenciana;Dinamarca;Noviembre;1.514
Comunitat Valenciana;Dinamarca;Diciembre;2.632
Comunitat Valenciana;Finlandia;Total;124.994
Comunitat Valenciana;Finlandia;Enero;6.772
Comunitat Valenciana;Finlandia;Febrero;6.663
Comunitat Valenciana;Finlandia;Marzo;8.534
Comunitat Valenciana;Finlandia;Abril;3.453
Comunitat Valenciana;Finlandia;Mayo;2.832
Comunitat Valenciana;Finlandia;Junio;6.312
Comunitat Valenciana;Finlandia;Julio;5.441
Comunitat Valenciana;Finlandia;Agosto;951
Comunitat Valenciana;Finlandia;Septiembre;20.199
Comunitat Valenciana;Finlandia;Octubre;17.479
Comunitat Valenciana;Finlandia;Noviembre;23.648
Comunitat Valenciana;Finlandia;Diciembre;22.713
Comunitat Valenciana;Francia;Total;930.840
Comunitat Valenciana;Francia;Enero;14.336
Comunitat Valenciana;Francia;Febrero;16.030
Comunitat Valenciana;Francia;Marzo;16.807
Comunitat Valenciana;Francia;Abril;38.468
Comunitat Valenciana;Francia;Mayo;38.815
Comunitat Valenciana;Francia;Junio;53.315
Comunitat Valenciana;Francia;Julio;195.414
Comunitat Valenciana;Francia;Agosto;431.388
Comunitat Valenciana;Francia;Septiembre;71.411
Comunitat Valenciana;Francia;Octubre;34.381
Comunitat Valenciana;Francia;Noviembre;11.887
Comunitat Valenciana;Francia;Diciembre;8.589
Comunitat Valenciana;Grecia;Total;6.894
Comunitat Valenciana;Grecia;Enero;586
Comunitat Valenciana;Grecia;Febrero;254
Comunitat Valenciana;Grecia;Marzo;828
Comunitat Valenciana;Grecia;Abril;159
Comunitat Valenciana;Grecia;Mayo;77
Comunitat Valenciana;Grecia;Junio;167
Comunitat Valenciana;Grecia;Julio;319
Comunitat Valenciana;Grecia;Agosto;219
Comunitat Valenciana;Grecia;Septiembre;2.184
Comunitat Valenciana;Grecia;Octubre;1.025
Comunitat Valenciana;Grecia;Noviembre;584
Comunitat Valenciana;Grecia;Diciembre;491
Comunitat Valenciana;Irlanda;Total;131.597
Comunitat Valenciana;Irlanda;Enero;4.264
Comunitat Valenciana;Irlanda;Febrero;2.896
Comunitat Valenciana;Irlanda;Marzo;7.454
Comunitat Valenciana;Irlanda;Abril;11.747
Comunitat Valenciana;Irlanda;Mayo;16.103
Comunitat Valenciana;Irlanda;Junio;21.679
Comunitat Valenciana;Irlanda;Julio;15.243
Comunitat Valenciana;Irlanda;Agosto;10.728
Comunitat Valenciana;Irlanda;Septiembre;16.730
Comunitat Valenciana;Irlanda;Octubre;16.083
Comunitat Valenciana;Irlanda;Noviembre;4.440
Comunitat Valenciana;Irlanda;Diciembre;4.230
Comunitat Valenciana;Italia;Total;186.143
Comunitat Valenciana;Italia;Enero;6.019
Comunitat Valenciana;Italia;Febrero;10.729
Comunitat Valenciana;Italia;Marzo;12.777
Comunitat Valenciana;Italia;Abril;9.655
Comunitat Valenciana;Italia;Mayo;14.740
Comunitat Valenciana;Italia;Junio;14.732
Comunitat Valenciana;Italia;Julio;26.115
Comunitat Valenciana;Italia;Agosto;46.875
Comunitat Valenciana;Italia;Septiembre;14.465
Comunitat Valenciana;Italia;Octubre;8.817
Comunitat Valenciana;Italia;Noviembre;11.911
Comunitat Valenciana;Italia;Diciembre;9.307
Comunitat Valenciana;Luxemburgo;Total;13.667
Comunitat Valenciana;Luxemburgo;Enero;612
Comunitat Valenciana;Luxemburgo;Febrero;722
Comunitat Valenciana;Luxemburgo;Marzo;589
Comunitat Valenciana;Luxemburgo;Abril;553
Comunitat Valenciana;Luxemburgo;Mayo;681
Comunitat Valenciana;Luxemburgo;Junio;855
Comunitat Valenciana;Luxemburgo;Julio;3.641
Comunitat Valenciana;Luxemburgo;Agosto;2.110
Comunitat Valenciana;Luxemburgo;Septiembre;2.172
Comunitat Valenciana;Luxemburgo;Octubre;561
Comunitat Valenciana;Luxemburgo;Noviembre;838
Comunitat Valenciana;Luxemburgo;Diciembre;333
Comunitat Valenciana;Países Bajos;Total;682.768
Comunitat Valenciana;Países Bajos;Enero;61.400
Comunitat Valenciana;Países Bajos;Febrero;58.564
Comunitat Valenciana;Países Bajos;Marzo;57.399
Comunitat Valenciana;Países Bajos;Abril;45.565
Comunitat Valenciana;Países Bajos;Mayo;48.866
Comunitat Valenciana;Países Bajos;Junio;51.240
Comunitat Valenciana;Países Bajos;Julio;57.969
Comunitat Valenciana;Países Bajos;Agosto;81.989
Comunitat Valenciana;Países Bajos;Septiembre;64.310
Comunitat Valenciana;Países Bajos;Octubre;73.394
Comunitat Valenciana;Países Bajos;Noviembre;39.498
Comunitat Valenciana;Países Bajos;Diciembre;42.575
Comunitat Valenciana;Polonia;Total;88.222
Comunitat Valenciana;Polonia;Enero;3.638
Comunitat Valenciana;Polonia;Febrero;5.677
Comunitat Valenciana;Polonia;Marzo;12.926
Comunitat Valenciana;Polonia;Abril;6.153
Comunitat Valenciana;Polonia;Mayo;7.237
Comunitat Valenciana;Polonia;Junio;9.381
Comunitat Valenciana;Polonia;Julio;10.091
Comunitat Valenciana;Polonia;Agosto;8.258
Comunitat Valenciana;Polonia;Septiembre;9.715
Comunitat Valenciana;Polonia;Octubre;6.995
Comunitat Valenciana;Polonia;Noviembre;4.727
Comunitat Valenciana;Polonia;Diciembre;3.424
Comunitat Valenciana;Portugal;Total;58.995
Comunitat Valenciana;Portugal;Enero;664
Comunitat Valenciana;Portugal;Febrero;2.233
Comunitat Valenciana;Portugal;Marzo;764
Comunitat Valenciana;Portugal;Abril;18.623
Comunitat Valenciana;Portugal;Mayo;2.196
Comunitat Valenciana;Portugal;Junio;3.610
Comunitat Valenciana;Portugal;Julio;5.006
Comunitat Valenciana;Portugal;Agosto;16.431
Comunitat Valenciana;Portugal;Septiembre;7.200
Comunitat Valenciana;Portugal;Octubre;1.001
Comunitat Valenciana;Portugal;Noviembre;820
Comunitat Valenciana;Portugal;Diciembre;448
Comunitat Valenciana;Reino Unido;Total;2.477.474
Comunitat Valenciana;Reino Unido;Enero;127.354
Comunitat Valenciana;Reino Unido;Febrero;133.299
Comunitat Valenciana;Reino Unido;Marzo;162.804
Comunitat Valenciana;Reino Unido;Abril;207.570
Comunitat Valenciana;Reino Unido;Mayo;271.020
Comunitat Valenciana;Reino Unido;Junio;272.144
Comunitat Valenciana;Reino Unido;Julio;273.830
Comunitat Valenciana;Reino Unido;Agosto;275.937
Comunitat Valenciana;Reino Unido;Septiembre;275.931
Comunitat Valenciana;Reino Unido;Octubre;238.963
Comunitat Valenciana;Reino Unido;Noviembre;144.234
Comunitat Valenciana;Reino Unido;Diciembre;94.387
Comunitat Valenciana;Republica Checa;Total;23.688
Comunitat Valenciana;Republica Checa;Enero;480
Comunitat Valenciana;Republica Checa;Febrero;768
Comunitat Valenciana;Republica Checa;Marzo;671
Comunitat Valenciana;Republica Checa;Abril;488
Comunitat Valenciana;Republica Checa;Mayo;445
Comunitat Valenciana;Republica Checa;Junio;5.175
Comunitat Valenciana;Republica Checa;Julio;4.320
Comunitat Valenciana;Republica Checa;Agosto;3.270
Comunitat Valenciana;Republica Checa;Septiembre;3.693
Comunitat Valenciana;Republica Checa;Octubre;3.566
Comunitat Valenciana;Republica Checa;Noviembre;682
Comunitat Valenciana;Republica Checa;Diciembre;128
Comunitat Valenciana;Suecia;Total;231.583
Comunitat Valenciana;Suecia;Enero;9.868
Comunitat Valenciana;Suecia;Febrero;13.196
Comunitat Valenciana;Suecia;Marzo;23.821
Comunitat Valenciana;Suecia;Abril;16.478
Comunitat Valenciana;Suecia;Mayo;12.842
Comunitat Valenciana;Suecia;Junio;17.344
Comunitat Valenciana;Suecia;Julio;29.201
Comunitat Valenciana;Suecia;Agosto;24.096
Comunitat Valenciana;Suecia;Septiembre;24.037
Comunitat Valenciana;Suecia;Octubre;34.517
Comunitat Valenciana;Suecia;Noviembre;18.002
Comunitat Valenciana;Suecia;Diciembre;8.181
Comunitat Valenciana;Resto de la UE;Total;106.137
Comunitat Valenciana;Resto de la UE;Enero;5.092
Comunitat Valenciana;Resto de la UE;Febrero;7.045
Comunitat Valenciana;Resto de la UE;Marzo;10.165
Comunitat Valenciana;Resto de la UE;Abril;8.509
Comunitat Valenciana;Resto de la UE;Mayo;5.814
Comunitat Valenciana;Resto de la UE;Junio;11.152
Comunitat Valenciana;Resto de la UE;Julio;12.670
Comunitat Valenciana;Resto de la UE;Agosto;9.782
Comunitat Valenciana;Resto de la UE;Septiembre;12.970
Comunitat Valenciana;Resto de la UE;Octubre;12.178
Comunitat Valenciana;Resto de la UE;Noviembre;6.562
Comunitat Valenciana;Resto de la UE;Diciembre;4.197
Comunitat Valenciana;Noruega;Total;227.818
Comunitat Valenciana;Noruega;Enero;12.226
Comunitat Valenciana;Noruega;Febrero;25.160
Comunitat Valenciana;Noruega;Marzo;28.705
Comunitat Valenciana;Noruega;Abril;15.859
Comunitat Valenciana;Noruega;Mayo;13.478
Comunitat Valenciana;Noruega;Junio;15.010
Comunitat Valenciana;Noruega;Julio;22.351
Comunitat Valenciana;Noruega;Agosto;12.266
Comunitat Valenciana;Noruega;Septiembre;18.691
Comunitat Valenciana;Noruega;Octubre;32.425
Comunitat Valenciana;Noruega;Noviembre;18.960
Comunitat Valenciana;Noruega;Diciembre;12.688
Comunitat Valenciana;Rusia;Total;263.294
Comunitat Valenciana;Rusia;Enero;6.514
Comunitat Valenciana;Rusia;Febrero;7.246
Comunitat Valenciana;Rusia;Marzo;6.729
Comunitat Valenciana;Rusia;Abril;8.828
Comunitat Valenciana;Rusia;Mayo;13.850
Comunitat Valenciana;Rusia;Junio;63.367
Comunitat Valenciana;Rusia;Julio;54.825
Comunitat Valenciana;Rusia;Agosto;37.291
Comunitat Valenciana;Rusia;Septiembre;36.552
Comunitat Valenciana;Rusia;Octubre;18.045
Comunitat Valenciana;Rusia;Noviembre;5.016
Comunitat Valenciana;Rusia;Diciembre;5.031
Comunitat Valenciana;Suiza;Total;92.685
Comunitat Valenciana;Suiza;Enero;2.825
Comunitat Valenciana;Suiza;Febrero;6.151
Comunitat Valenciana;Suiza;Marzo;3.711
Comunitat Valenciana;Suiza;Abril;4.409
Comunitat Valenciana;Suiza;Mayo;5.319
Comunitat Valenciana;Suiza;Junio;9.292
Comunitat Valenciana;Suiza;Julio;14.586
Comunitat Valenciana;Suiza;Agosto;10.795
Comunitat Valenciana;Suiza;Septiembre;12.210
Comunitat Valenciana;Suiza;Octubre;15.266
Comunitat Valenciana;Suiza;Noviembre;4.878
Comunitat Valenciana;Suiza;Diciembre;3.243
Comunitat Valenciana;Resto de Europa;Total;81.097
Comunitat Valenciana;Resto de Europa;Enero;2.456
Comunitat Valenciana;Resto de Europa;Febrero;4.243
Comunitat Valenciana;Resto de Europa;Marzo;4.239
Comunitat Valenciana;Resto de Europa;Abril;5.131
Comunitat Valenciana;Resto de Europa;Mayo;8.026
Comunitat Valenciana;Resto de Europa;Junio;14.163
Comunitat Valenciana;Resto de Europa;Julio;12.953
Comunitat Valenciana;Resto de Europa;Agosto;10.380
Comunitat Valenciana;Resto de Europa;Septiembre;7.942
Comunitat Valenciana;Resto de Europa;Octubre;5.562
Comunitat Valenciana;Resto de Europa;Noviembre;3.427
Comunitat Valenciana;Resto de Europa;Diciembre;2.575
Comunitat Valenciana;Estados Unidos;Total;52.897
Comunitat Valenciana;Estados Unidos;Enero;2.760
Comunitat Valenciana;Estados Unidos;Febrero;4.122
Comunitat Valenciana;Estados Unidos;Marzo;4.210
Comunitat Valenciana;Estados Unidos;Abril;6.828
Comunitat Valenciana;Estados Unidos;Mayo;5.747
Comunitat Valenciana;Estados Unidos;Junio;6.397
Comunitat Valenciana;Estados Unidos;Julio;9.385
Comunitat Valenciana;Estados Unidos;Agosto;4.002
Comunitat Valenciana;Estados Unidos;Septiembre;3.029
Comunitat Valenciana;Estados Unidos;Octubre;2.772
Comunitat Valenciana;Estados Unidos;Noviembre;1.876
Comunitat Valenciana;Estados Unidos;Diciembre;1.770
Comunitat Valenciana;Resto de América;Total;58.940
Comunitat Valenciana;Resto de América;Enero;4.404
Comunitat Valenciana;Resto de América;Febrero;3.985
Comunitat Valenciana;Resto de América;Marzo;4.550
Comunitat Valenciana;Resto de América;Abril;5.615
Comunitat Valenciana;Resto de América;Mayo;4.002
Comunitat Valenciana;Resto de América;Junio;5.674
Comunitat Valenciana;Resto de América;Julio;6.073
Comunitat Valenciana;Resto de América;Agosto;8.760
Comunitat Valenciana;Resto de América;Septiembre;3.514
Comunitat Valenciana;Resto de América;Octubre;5.103
Comunitat Valenciana;Resto de América;Noviembre;3.806
Comunitat Valenciana;Resto de América;Diciembre;3.455
Comunitat Valenciana;Países Africanos;Total;81.906
Comunitat Valenciana;Países Africanos;Enero;3.461
Comunitat Valenciana;Países Africanos;Febrero;3.181
Comunitat Valenciana;Países Africanos;Marzo;3.285
Comunitat Valenciana;Países Africanos;Abril;2.715
Comunitat Valenciana;Países Africanos;Mayo;2.040
Comunitat Valenciana;Países Africanos;Junio;1.586
Comunitat Valenciana;Países Africanos;Julio;15.745
Comunitat Valenciana;Países Africanos;Agosto;..
Comunitat Valenciana;Países Africanos;Septiembre;7.168
Comunitat Valenciana;Países Africanos;Octubre;2.286
Comunitat Valenciana;Países Africanos;Noviembre;2.629
Comunitat Valenciana;Países Africanos;Diciembre;2.954
Comunitat Valenciana;Resto del mundo;Total;68.259
Comunitat Valenciana;Resto del mundo;Enero;3.709
Comunitat Valenciana;Resto del mundo;Febrero;5.046
Comunitat Valenciana;Resto del mundo;Marzo;3.323
Comunitat Valenciana;Resto del mundo;Abril;3.627
Comunitat Valenciana;Resto del mundo;Mayo;3.614
Comunitat Valenciana;Resto del mundo;Junio;7.643
Comunitat Valenciana;Resto del mundo;Julio;11.462
Comunitat Valenciana;Resto del mundo;Agosto;5.947
Comunitat Valenciana;Resto del mundo;Septiembre;5.392
Comunitat Valenciana;Resto del mundo;Octubre;5.295
Comunitat Valenciana;Resto del mundo;Noviembre;5.937
Comunitat Valenciana;Resto del mundo;Diciembre;7.263
Extremadura;Total;Total;138.879
Extremadura;Total;Enero;5.126
Extremadura;Total;Febrero;6.380
Extremadura;Total;Marzo;8.039
Extremadura;Total;Abril;17.616
Extremadura;Total;Mayo;9.479
Extremadura;Total;Junio;8.978
Extremadura;Total;Julio;17.230
Extremadura;Total;Agosto;25.477
Extremadura;Total;Septiembre;13.348
Extremadura;Total;Octubre;11.710
Extremadura;Total;Noviembre;6.818
Extremadura;Total;Diciembre;8.679
Extremadura;Residentes en España;Total;124.634
Extremadura;Residentes en España;Enero;4.606
Extremadura;Residentes en España;Febrero;5.623
Extremadura;Residentes en España;Marzo;7.382
Extremadura;Residentes en España;Abril;16.333
Extremadura;Residentes en España;Mayo;7.390
Extremadura;Residentes en España;Junio;7.481
Extremadura;Residentes en España;Julio;16.041
Extremadura;Residentes en España;Agosto;23.709
Extremadura;Residentes en España;Septiembre;12.173
Extremadura;Residentes en España;Octubre;9.961
Extremadura;Residentes en España;Noviembre;5.932
Extremadura;Residentes en España;Diciembre;8.003
Extremadura;No residentes en España;Total;14.245
Extremadura;No residentes en España;Enero;519
Extremadura;No residentes en España;Febrero;757
Extremadura;No residentes en España;Marzo;657
Extremadura;No residentes en España;Abril;1.283
Extremadura;No residentes en España;Mayo;2.089
Extremadura;No residentes en España;Junio;1.497
Extremadura;No residentes en España;Julio;1.189
Extremadura;No residentes en España;Agosto;1.767
Extremadura;No residentes en España;Septiembre;1.175
Extremadura;No residentes en España;Octubre;1.749
Extremadura;No residentes en España;Noviembre;885
Extremadura;No residentes en España;Diciembre;677
Extremadura;Unión Europea (sin España);Total;10.676
Extremadura;Unión Europea (sin España);Enero;356
Extremadura;Unión Europea (sin España);Febrero;598
Extremadura;Unión Europea (sin España);Marzo;560
Extremadura;Unión Europea (sin España);Abril;1.035
Extremadura;Unión Europea (sin España);Mayo;1.665
Extremadura;Unión Europea (sin España);Junio;705
Extremadura;Unión Europea (sin España);Julio;975
Extremadura;Unión Europea (sin España);Agosto;1.548
Extremadura;Unión Europea (sin España);Septiembre;881
Extremadura;Unión Europea (sin España);Octubre;1.248
Extremadura;Unión Europea (sin España);Noviembre;666
Extremadura;Unión Europea (sin España);Diciembre;438
Extremadura;Alemania;Total;1.084
Extremadura;Alemania;Enero;62
Extremadura;Alemania;Febrero;108
Extremadura;Alemania;Marzo;14
Extremadura;Alemania;Abril;117
Extremadura;Alemania;Mayo;312
Extremadura;Alemania;Junio;42
Extremadura;Alemania;Julio;25
Extremadura;Alemania;Agosto;54
Extremadura;Alemania;Septiembre;37
Extremadura;Alemania;Octubre;255
Extremadura;Alemania;Noviembre;..
Extremadura;Alemania;Diciembre;55
Extremadura;Austria;Total;81
Extremadura;Austria;Enero;..
Extremadura;Austria;Febrero;..
Extremadura;Austria;Marzo;..
Extremadura;Austria;Abril;..
Extremadura;Austria;Mayo;69
Extremadura;Austria;Junio;..
Extremadura;Austria;Julio;..
Extremadura;Austria;Agosto;..
Extremadura;Austria;Septiembre;..
Extremadura;Austria;Octubre;..
Extremadura;Austria;Noviembre;..
Extremadura;Austria;Diciembre;..
Extremadura;Bélgica;Total;223
Extremadura;Bélgica;Enero;..
Extremadura;Bélgica;Febrero;..
Extremadura;Bélgica;Marzo;..
Extremadura;Bélgica;Abril;..
Extremadura;Bélgica;Mayo;24
Extremadura;Bélgica;Junio;23
Extremadura;Bélgica;Julio;..
Extremadura;Bélgica;Agosto;25
Extremadura;Bélgica;Septiembre;98
Extremadura;Bélgica;Octubre;..
Extremadura;Bélgica;Noviembre;..
Extremadura;Bélgica;Diciembre;..
Extremadura;Dinamarca;Total;400
Extremadura;Dinamarca;Enero;..
Extremadura;Dinamarca;Febrero;..
Extremadura;Dinamarca;Marzo;64
Extremadura;Dinamarca;Abril;76
Extremadura;Dinamarca;Mayo;79
Extremadura;Dinamarca;Junio;..
Extremadura;Dinamarca;Julio;180
Extremadura;Dinamarca;Agosto;..
Extremadura;Dinamarca;Septiembre;..
Extremadura;Dinamarca;Octubre;..
Extremadura;Dinamarca;Noviembre;..
Extremadura;Dinamarca;Diciembre;..
Extremadura;Finlandia;Total;52
Extremadura;Finlandia;Enero;..
Extremadura;Finlandia;Febrero;..
Extremadura;Finlandia;Marzo;..
Extremadura;Finlandia;Abril;..
Extremadura;Finlandia;Mayo;..
Extremadura;Finlandia;Junio;..
Extremadura;Finlandia;Julio;18
Extremadura;Finlandia;Agosto;..
Extremadura;Finlandia;Septiembre;..
Extremadura;Finlandia;Octubre;..
Extremadura;Finlandia;Noviembre;..
Extremadura;Finlandia;Diciembre;..
Extremadura;Francia;Total;3.130
Extremadura;Francia;Enero;..
Extremadura;Francia;Febrero;73
Extremadura;Francia;Marzo;257
Extremadura;Francia;Abril;279
Extremadura;Francia;Mayo;240
Extremadura;Francia;Junio;232
Extremadura;Francia;Julio;340
Extremadura;Francia;Agosto;565
Extremadura;Francia;Septiembre;201
Extremadura;Francia;Octubre;539
Extremadura;Francia;Noviembre;359
Extremadura;Francia;Diciembre;..
Extremadura;Grecia;Total;..
Extremadura;Grecia;Enero;..
Extremadura;Grecia;Febrero;..
Extremadura;Grecia;Marzo;..
Extremadura;Grecia;Abril;..
Extremadura;Grecia;Mayo;..
Extremadura;Grecia;Junio;..
Extremadura;Grecia;Julio;..
Extremadura;Grecia;Agosto;..
Extremadura;Grecia;Septiembre;..
Extremadura;Grecia;Octubre;..
Extremadura;Grecia;Noviembre;..
Extremadura;Grecia;Diciembre;..
Extremadura;Irlanda;Total;139
Extremadura;Irlanda;Enero;..
Extremadura;Irlanda;Febrero;..
Extremadura;Irlanda;Marzo;..
Extremadura;Irlanda;Abril;..
Extremadura;Irlanda;Mayo;..
Extremadura;Irlanda;Junio;..
Extremadura;Irlanda;Julio;..
Extremadura;Irlanda;Agosto;12
Extremadura;Irlanda;Septiembre;..
Extremadura;Irlanda;Octubre;26
Extremadura;Irlanda;Noviembre;..
Extremadura;Irlanda;Diciembre;30
Extremadura;Italia;Total;429
Extremadura;Italia;Enero;66
Extremadura;Italia;Febrero;39
Extremadura;Italia;Marzo;..
Extremadura;Italia;Abril;24
Extremadura;Italia;Mayo;61
Extremadura;Italia;Junio;..
Extremadura;Italia;Julio;17
Extremadura;Italia;Agosto;57
Extremadura;Italia;Septiembre;54
Extremadura;Italia;Octubre;..
Extremadura;Italia;Noviembre;39
Extremadura;Italia;Diciembre;53
Extremadura;Luxemburgo;Total;..
Extremadura;Luxemburgo;Enero;..
Extremadura;Luxemburgo;Febrero;..
Extremadura;Luxemburgo;Marzo;..
Extremadura;Luxemburgo;Abril;..
Extremadura;Luxemburgo;Mayo;..
Extremadura;Luxemburgo;Junio;..
Extremadura;Luxemburgo;Julio;..
Extremadura;Luxemburgo;Agosto;..
Extremadura;Luxemburgo;Septiembre;..
Extremadura;Luxemburgo;Octubre;..
Extremadura;Luxemburgo;Noviembre;..
Extremadura;Luxemburgo;Diciembre;..
Extremadura;Países Bajos;Total;1.010
Extremadura;Países Bajos;Enero;..
Extremadura;Países Bajos;Febrero;..
Extremadura;Países Bajos;Marzo;16
Extremadura;Países Bajos;Abril;200
Extremadura;Países Bajos;Mayo;291
Extremadura;Países Bajos;Junio;87
Extremadura;Países Bajos;Julio;139
Extremadura;Países Bajos;Agosto;186
Extremadura;Países Bajos;Septiembre;47
Extremadura;Países Bajos;Octubre;..
Extremadura;Países Bajos;Noviembre;35
Extremadura;Países Bajos;Diciembre;..
Extremadura;Polonia;Total;129
Extremadura;Polonia;Enero;44
Extremadura;Polonia;Febrero;..
Extremadura;Polonia;Marzo;..
Extremadura;Polonia;Abril;..
Extremadura;Polonia;Mayo;48
Extremadura;Polonia;Junio;..
Extremadura;Polonia;Julio;..
Extremadura;Polonia;Agosto;..
Extremadura;Polonia;Septiembre;..
Extremadura;Polonia;Octubre;..
Extremadura;Polonia;Noviembre;..
Extremadura;Polonia;Diciembre;18
Extremadura;Portugal;Total;1.817
Extremadura;Portugal;Enero;127
Extremadura;Portugal;Febrero;88
Extremadura;Portugal;Marzo;64
Extremadura;Portugal;Abril;179
Extremadura;Portugal;Mayo;48
Extremadura;Portugal;Junio;79
Extremadura;Portugal;Julio;103
Extremadura;Portugal;Agosto;293
Extremadura;Portugal;Septiembre;164
Extremadura;Portugal;Octubre;275
Extremadura;Portugal;Noviembre;190
Extremadura;Portugal;Diciembre;208
Extremadura;Reino Unido;Total;1.325
Extremadura;Reino Unido;Enero;..
Extremadura;Reino Unido;Febrero;159
Extremadura;Reino Unido;Marzo;87
Extremadura;Reino Unido;Abril;124
Extremadura;Reino Unido;Mayo;226
Extremadura;Reino Unido;Junio;172
Extremadura;Reino Unido;Julio;80
Extremadura;Reino Unido;Agosto;60
Extremadura;Reino Unido;Septiembre;244
Extremadura;Reino Unido;Octubre;83
Extremadura;Reino Unido;Noviembre;31
Extremadura;Reino Unido;Diciembre;..
Extremadura;Republica Checa;Total;64
Extremadura;Republica Checa;Enero;..
Extremadura;Republica Checa;Febrero;..
Extremadura;Republica Checa;Marzo;..
Extremadura;Republica Checa;Abril;..
Extremadura;Republica Checa;Mayo;..
Extremadura;Republica Checa;Junio;..
Extremadura;Republica Checa;Julio;..
Extremadura;Republica Checa;Agosto;..
Extremadura;Republica Checa;Septiembre;..
Extremadura;Republica Checa;Octubre;51
Extremadura;Republica Checa;Noviembre;..
Extremadura;Republica Checa;Diciembre;..
Extremadura;Suecia;Total;171
Extremadura;Suecia;Enero;..
Extremadura;Suecia;Febrero;130
Extremadura;Suecia;Marzo;..
Extremadura;Suecia;Abril;..
Extremadura;Suecia;Mayo;..
Extremadura;Suecia;Junio;..
Extremadura;Suecia;Julio;..
Extremadura;Suecia;Agosto;23
Extremadura;Suecia;Septiembre;12
Extremadura;Suecia;Octubre;..
Extremadura;Suecia;Noviembre;..
Extremadura;Suecia;Diciembre;..
Extremadura;Resto de la UE;Total;597
Extremadura;Resto de la UE;Enero;..
Extremadura;Resto de la UE;Febrero;..
Extremadura;Resto de la UE;Marzo;..
Extremadura;Resto de la UE;Abril;..
Extremadura;Resto de la UE;Mayo;249
Extremadura;Resto de la UE;Junio;11
Extremadura;Resto de la UE;Julio;..
Extremadura;Resto de la UE;Agosto;272
Extremadura;Resto de la UE;Septiembre;..
Extremadura;Resto de la UE;Octubre;..
Extremadura;Resto de la UE;Noviembre;..
Extremadura;Resto de la UE;Diciembre;20
Extremadura;Noruega;Total;79
Extremadura;Noruega;Enero;..
Extremadura;Noruega;Febrero;..
Extremadura;Noruega;Marzo;..
Extremadura;Noruega;Abril;..
Extremadura;Noruega;Mayo;51
Extremadura;Noruega;Junio;..
Extremadura;Noruega;Julio;..
Extremadura;Noruega;Agosto;..
Extremadura;Noruega;Septiembre;..
Extremadura;Noruega;Octubre;..
Extremadura;Noruega;Noviembre;..
Extremadura;Noruega;Diciembre;..
Extremadura;Rusia;Total;117
Extremadura;Rusia;Enero;12
Extremadura;Rusia;Febrero;..
Extremadura;Rusia;Marzo;..
Extremadura;Rusia;Abril;..
Extremadura;Rusia;Mayo;28
Extremadura;Rusia;Junio;..
Extremadura;Rusia;Julio;..
Extremadura;Rusia;Agosto;..
Extremadura;Rusia;Septiembre;..
Extremadura;Rusia;Octubre;39
Extremadura;Rusia;Noviembre;..
Extremadura;Rusia;Diciembre;..
Extremadura;Suiza;Total;26
Extremadura;Suiza;Enero;..
Extremadura;Suiza;Febrero;..
Extremadura;Suiza;Marzo;..
Extremadura;Suiza;Abril;12
Extremadura;Suiza;Mayo;12
Extremadura;Suiza;Junio;..
Extremadura;Suiza;Julio;..
Extremadura;Suiza;Agosto;..
Extremadura;Suiza;Septiembre;..
Extremadura;Suiza;Octubre;..
Extremadura;Suiza;Noviembre;..
Extremadura;Suiza;Diciembre;..
Extremadura;Resto de Europa;Total;141
Extremadura;Resto de Europa;Enero;..
Extremadura;Resto de Europa;Febrero;..
Extremadura;Resto de Europa;Marzo;..
Extremadura;Resto de Europa;Abril;35
Extremadura;Resto de Europa;Mayo;..
Extremadura;Resto de Europa;Junio;..
Extremadura;Resto de Europa;Julio;18
Extremadura;Resto de Europa;Agosto;..
Extremadura;Resto de Europa;Septiembre;61
Extremadura;Resto de Europa;Octubre;..
Extremadura;Resto de Europa;Noviembre;..
Extremadura;Resto de Europa;Diciembre;..
Extremadura;Estados Unidos;Total;976
Extremadura;Estados Unidos;Enero;..
Extremadura;Estados Unidos;Febrero;36
Extremadura;Estados Unidos;Marzo;23
Extremadura;Estados Unidos;Abril;114
Extremadura;Estados Unidos;Mayo;88
